State,Total Number of Missing Persons,"Missing People per 100,000 Residents"
Alabama,204,4.2
Alaska,309,41.8
Arizona,915,13
Arkansas,200,6.7
California,"2,133",5.4
Colorado,292,5.2
Connecticut,197,5.5
Delaware,58,6
District of Columbia,35,5
Florida,"1,252",6
Georgia,250,2.4
Hawaii,107,7.5
Idaho,101,5.9
Illinois,317,2.5
Indiana,174,2.6
Iowa,86,2.7
Kansas,81,2.8
Kentucky,248,5.6
Louisiana,266,5.7
Maine,108,8.1
Maryland,183,3
Massachusetts,126,1.8
Michigan,556,5.6
Minnesota,179,3.2
Mississippi,115,3.9
Missouri,316,5.2
Montana,71,6.8
Nebraska,61,3.2
Nevada,192,6.4
New Hampshire,35,2.6
New Jersey,299,3.3
New Mexico,143,6.8
New York,606,3.1
North Carolina,327,3.2
North Dakota,31,4.1
Ohio,358,3.1
Oklahoma,252,6.4
Oregon,432,10.4
Pennsylvania,401,3.1
Rhode Island,20,1.9
South Carolina,184,3.7
South Dakota,23,2.6
Tennessee,361,5.4
Texas,"1,246",4.4
Utah,107,3.4
Vermont,54,8.7
Virginia,239,2.8
Washington,643,8.7
West Virginia,120,6.6
Wisconsin,149,2.6
Wyoming,45,7.8
